,Order,SubjectID,ServerTimestamp,AssignmentID,ProblemID,Attempt,CodeStateID,Score,Code,Between,N Way,2xN,Other,OtherReason
0,9519,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:09 PM,439,234,1,d6ba1306c10e3d5037a9f437455f00d1fdb96b3e,1,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if (cigars >= 40)
    {
        if (cigars <= 60 || isWeekend)
            return true;
        else
            return false;
    }
    else
        return false;
}
",0,0,0,0,
1,22335,085d5d1e61effabc440d74ac51b91d87,02/21/19 06:56 PM,439,13,1,ddc22aa593f69bd098d03cd34086ff78361a0f37,0,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    if (isBirthday)
        speed += 5;
    if (speed <= 60)
        return 0;
    else if (speed >=61 && speeed <= 80)
        return 1;
    else
        return 2;
}
",0,0,1,1,Wrong variable
2,36794,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:22 PM,439,12,1,67b1689cc3f454ed979ad6352eee5fdf021da618,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    int upperTemp = 90;
    if (isSummer)
        upperTemp = 100;
    if (temp >= 60 && temp <= upperTemp)
        return true;
    else
        return false;
}
",0,0,0,0,
3,39211,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:02 PM,439,232,2,416d3f7357a9c177621a06babb4bd765236faab2,1,"public String alarmClock(int day, boolean vacation)
{
    if (day == 1 || day == 2 || day == 3 || day == 4 || day == 5)
    {
        if (vacation)
            return ""10:00"";
        else
            return ""7:00"";
    }
    else
    {
        if (vacation)
            return ""off"";
        else
            return ""10:00"";
    }
}
",0,0,0,0,
4,59278,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:16 PM,439,233,1,7c96d36e8bed1ae8a6bceb30708f3c6dc22c2dd2,1,"public boolean love6(int a, int b)
{
    if (a == 6 || b == 6)
        return true;
    else if (a + b == 6 || Math.abs(a - b) == 6)
        return true;
    else
        return false;
}
",0,0,0,0,
5,64700,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:14 PM,439,5,2,dbbed2b3b6e78dc89bf401c63b1f9f8188896159,1,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if (isAsleep)
        return false;
    else if (!isMorning || isMom)
        return true;
    else
        return false;
}
",0,0,0,0,
6,67999,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:05 PM,439,235,1,1d55aabc82aa16a4b9ec00720ddf0d0d1357a6a9,0,"public int dateFashion(int you, int date)
{
    if (you >= 8 || date >= 8)
    {
        if (you <= 2 || date <= 2)
            return 0;
        else
            return 2;
    }
    else
        return 1;
}
",0,1,0,0,
7,76040,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:12 PM,439,236,1,b63f4fed4f3be17f670e0b2572d48876d5594909,1,"public int greenTicket(int a, int b, int c)
{
    if (a != b && b != c && a != c)
        return 0;
    else if (a == b && b == c && a == c)
        return 20;
    else
        return 10;
}
",0,0,0,0,
8,119048,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:17 PM,439,1,1,541961e68eba731e1c4be1735b90a4e1f6eb9689,1,"public int sortaSum(int a, int b)
{
    if (a + b >= 10 && a + b <= 19)
        return 20;
    else
        return a + b;
}
",0,0,0,0,
9,133360,085d5d1e61effabc440d74ac51b91d87,02/21/19 07:19 PM,439,3,1,75a9ea65ba6c9c1117e46250a792f00de676a0ab,1,"public boolean in1To10(int n, boolean outsideMode)
{
    if (outsideMode)
    {
        if (n <= 1 || n >= 10)
            return true;
    }
    else
    {
        if (n >= 1 && n <= 10)
            return true;
    }
    return false;
}
",0,0,0,0,
10,12341,43a87a86ea9aee0255325e2865d6b503,02/25/19 02:24 AM,439,234,1,01a683260de62603480f7a44304f81ffb3e3f924,0,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if (!isWeekend)
        if ( cigars > 39 && cigars < 61)
            return true;
    else
            return false;
    else
        return true;
}
",0,0,1,0,
11,30335,43a87a86ea9aee0255325e2865d6b503,02/24/19 08:39 PM,439,13,3,1ce0a1f42d42be9a96ac2b9b15b102b8722e7198,0,"public int caughtSpeeding(int speed, boolean isBirthday)
{
   if ( speed <= 60)
   {
       return 0;
   }
    
   else if ( speed >= 61 && speed <= 80)
   {
       return 1;
   }
   
  else if(isBirthday)
  {
      speed = (speed +5);
  }
   else 
   {
       return 2;
   }
}
",0,0,1,0,
12,38312,43a87a86ea9aee0255325e2865d6b503,02/25/19 03:20 AM,439,12,5,3d56e316367ebfa901943e5eb4944c46278efd41,0,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if(isSummer)
    {
if (temp >= 60 && temp <= 100)
           
            return true;
    }
    
    
else if (temp >= 60 && temp <= 90)
    {
        return true;
    }
        
   else 
   {
       return false;
   }
}
",0,0,1,0,
13,46423,43a87a86ea9aee0255325e2865d6b503,02/25/19 02:05 AM,439,232,3,e7bc70889c1d94a03cbb43c9d0a04cd40b46a435,1,"public String alarmClock(int day, boolean vacation)
{
    if (!vacation)
    {
        if (day == 0 || day == 6)
            return ""10:00"";
        else
            return ""7:00"";
    
}
    else if (day == 0 || day == 6)
             return ""off"";
    else 
             return ""10:00"";
 }
",0,0,0,0,
14,61735,43a87a86ea9aee0255325e2865d6b503,02/25/19 02:56 AM,439,233,1,3415c3e676e08229153c1091f3710972f21fcd74,0,"public boolean love6(int a, int b)
{
    if (a == 6)
        return true;
    else if (a + b == 6)
        return true;
    else if (a - b == 6 || b - a == 6)
        return true;
    else 
return false;
}
",0,1,0,0,
15,67266,43a87a86ea9aee0255325e2865d6b503,02/25/19 02:52 AM,439,5,1,d84b097121a5c2fd960a061d53788cce75d41a15,1,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if (isAsleep)
        return false;
    if ( isMorning && !isMom )
        return false;
    else 
        return true;
}
",0,0,0,0,
16,70587,43a87a86ea9aee0255325e2865d6b503,02/25/19 02:15 AM,439,235,1,2fb105f6d50f977d47d9ba5f453f73a9a4b3a2a6,0,"public int dateFashion(int you, int date)
{
   if (you > 7 || date > 7)
       return 2;
    else if (you < 3 || date < 3)
        return 0;
    else 
        return 1;
}
",0,1,0,0,
17,78865,43a87a86ea9aee0255325e2865d6b503,02/25/19 02:33 AM,439,236,1,489b4763e54d35ef9ff7c65618d0999b75eba352,0,"public int greenTicket(int a, int b, int c)
{
    if (a==b || b==c ||c==a)
        return 20;
    if (!a==b || !b==c ||!c==a)
        return 0;
    else
        return 10;
}
",0,0,0,1,and or
18,120960,43a87a86ea9aee0255325e2865d6b503,02/25/19 02:58 AM,439,1,1,956acbf620baf38946a4ffdd3dd3121297942c90,0,"public int sortaSum(int a, int b)
{
    if ( a + b > 10)
        return 20;
    else
        return a + b;
}
",1,0,0,0,
19,136299,43a87a86ea9aee0255325e2865d6b503,02/25/19 03:13 AM,439,3,7,dab7c7c14080446fef709be97daf3fd8d17269b9,1,"public boolean in1To10(int n, boolean outsideMode)
{
    if (outsideMode)
return (n <= 1 || n >= 10);
return (n >= 1 && n <= 10);
}
",0,0,0,0,
20,10002,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:12 PM,439,234,1,64d2baee85a29057ca4d6825220362803e761c89,0,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if(isWeekend)
        return (cigars >= 40);
    return (cigars >=400 && cigars <60);
}
",1,0,0,1,Typo
21,25577,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:09 PM,439,13,1,99ff41498cfde106d76c4808a06479964bdde925,1,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    if(isBirthday)
        speed -= 5; 
    if(speed <= 60)
        return 0;
    else if(speed <= 80)
        return 1;
    else
        return 2;
}
",0,0,0,0,
22,37091,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:33 PM,439,12,4,c89eb3cb6854c71aa06c7c4d3f59de06a3f1ffe9,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if(isSummer)
        return (temp >= 60 && temp <= 100);
    return (temp >= 60 && temp <= 90);
}
",0,0,0,0,
23,40536,222d97000e1b90c1ed0f97e5cd9c203d,02/23/19 09:36 PM,439,232,1,97f92b9fc5cdef28772370002ac88d0aa967e294,1,"public String alarmClock(int day, boolean vacation)
{
    if(vacation)
    {
        if(day == 0 || day == 6)
            return ""off"";
        return ""10:00"";
    }
    else 
    {
        if(day == 0 || day == 6)
            return ""10:00"";
        return ""7:00"";
    }
}
",0,0,0,0,
