ProblemID,ProblemDec,Between,N Way,2xN,Hussle in ChatGPT
1,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, sums in the range 10..19 inclusive, are forbidden, so in that case just return 20.",1,1,,
1001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, when threshold is false, sums are forbidden, so in that case just return 20.",,1,,
2001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, in the case when threshold is false, sums in the range [10,19] inclusive are forbidden, so in that case just return 20. Otherwise when threshold is true, sums in the range (10,19) exclusive are forbidden, so in that case just return 20.",1,,1,
3001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, sums larger than 10 and smaller than 19 (exclusive) are allowed, and in other cases, just return 20.",1,1,,1
4001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, a or b in the range 10..19 inclusive, are forbidden, so in that case just return 20.",1,1,,
5001,"Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, sums in the range 10..19 inclusive, are forbidden, so in that case just return 70.",1,1,,
3,"Write a function in Java that implements the following logic: Given a number n, return true if n is in the range 1..10, inclusive. Unless ""outsideMode"" is true, in which case return true if the number is less or equal to 1, or greater or equal to 10.",1,,1,
1003,"Write a function in Java that implements the following logic: Given a number n, return 10 if n is in the range 1..10, inclusive. if n is in the range 11..20 inclusive, return 20, otherwise, return 0.",1,1,,
2003,"Write a function in Java that implements the following logic: Given a boolean n, return true if n is not true, otherwise return false.",,1,,
3003,"Write a function in Java that implements the following logic: Given a boolean n, return true if n is not true. Unless ""outsideMode"" is true, in which case return false if n is not true.",,1,,1
4003,"Write a function in Java that implements the following logic: Given a number n, return true if n is in the range 1..10, inclusive. Unless ""insideMode"" is false, in which case return true if the number is less or equal to 1, or greater or equal to 10.",1,,1,
5003,"Write a function in Java that implements the following logic: Given a number n, return true if n is in the range 1..10, exclusive. Unless ""outsideMode"" is true, in which case return true if the number is less than 1, or greater than 10.",1,,1,
5,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you only answer if it is your mom calling. In all cases, if you are asleep, you do not answer.",,1,,
1005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning when clock is in the range of [5,10], inclusive, you only answer if it is your mom calling. In all cases, if you are asleep, you do not answer.",1,1,,
2005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except when clock is in the range of [5,10], inclusive, you only answer if it is your mom calling. If you are asleep, you do not answer unless it is afternoon when the clock is in the range of [13,18].",1,,1,
3005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, but if you are asleep, you do not answer.",,1,,
4005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you don't answer. In all cases, if you are asleep, you do not answer.",,1,,
5005,"Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you only answer if it is your mom calling. If you are asleep, you do not answer unless it is urgent.",,1,,
12,"Write a function in Java that implements the following logic: The squirrels in Palo Alto spend most of the day playing. In particular, they play if the temperature is between 60 and 90 (inclusive). Unless it is summer, then the upper limit is 100 instead of 90. Given an int temperature and a boolean isSummer, return true if the squirrels play and false otherwise.",1,,1,
